"country","year","democracy","GDP","Status","fiw","lndn13","logGDP","GDP_growth","ntl_growth","GDP_growth_avg","ntl_growth_avg"
"Latvia",2013,1,7833177739,"F",1,0.82243723,22.7816341061248,0.0402767948947869,-0.21085757,0.035086916754341,0.0334846585714286
"Lebanon",2013,0,4.71588e+13,"PF",3.5,2.8968565,31.4845417459814,0.00896095217485282,0.1330895,0.0428567387008219,0.0409313809523809
"Lesotho",2013,1,12143350483,"F",1.5,-0.61019462,23.2200475715679,0.0573250666032905,-0.02255821,0.0382345549225799,0.0537660704761905
"Liberia",2013,1,5.776e+10,"PF",2.5,-2.0838869,24.779562331531,0.107119673160334,-0.0502696,0.0868979150829095,0.120445580952381
"Libya",2013,1,1.5745e+10,"PF",3.5,-0.57155967,23.4797886914994,-0.0983944223587763,-0.0200885599999999,0.00777064210420215,0.0073292
"Liechtenstein",2013,1,NA,"F",0,3.2766979,NA,NA,-0.0426981,0.0394067819008508,0.0373749952380952
"Lithuania",2013,1,79569866103,"F",0,1.1660824,25.0999012915771,0.0319938130646449,-0.3576155,0.0249314752548361,0.0335775566666667
"Luxembourg",2013,1,34000700000,"F",0,3.174053,24.2496469495859,0.0211420846454686,-0.0681686000000004,0.0324788226319599,0.0148935476190476
"Macedonia",2013,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar",2013,0,6.29659e+11,"PF",3.5,-3.2200642,27.1684442399513,0.0207486976279156,0.00338029999999989,0.0250316082719293,0.0588905666666667
"Malawi",2013,1,8.44307e+11,"PF",2.5,-1.0529715,27.4617820094794,0.0484990802064722,-0.16596146,0.0417272534505907,0.0300733
"Malaysia",2013,0,7.86696e+11,"PF",3,1.4903936,27.3911077337384,0.0458106085554384,0.0211876,0.0529254653854875,0.0767490457142857
"Maldives",2013,0,2.1388e+10,"PF",3,1.7813299,23.7860958540329,0.0364715499907327,-0.0536995,0.0630319000252533,0.0667426771428571
"Mali",2013,0,1.79331e+12,"PF",3.5,-3.2264981,28.2150841901971,0.0212637876181248,-0.0289733000000001,0.0440301282718859,0.0806590047619047
"Malta",2013,1,5705787072,"F",0,3.9222555,22.4647467725325,0.028587456898709,0.0216191000000001,0.0297093503988227,0.0061884619047619
"Marshall Islands",2013,1,1.51e+08,"F",0,0.037512578,18.8327903947792,0.00664454271866788,0.153060738,0.0116008908761864,6.5826571428572e-05
"Mauritania",2013,0,8.0982e+11,"NF",4.5,-3.633487,27.4200778376957,0.0648510674024791,0.0477296999999997,0.0428796007217535,0.0657375523809524
"Mauritius",2013,1,2.8293e+11,"F",0.5,2.8051155,26.3684653541703,0.0314985822327394,-0.0161345000000002,0.0420899620524953,0.0330151047619048
"Mexico",2013,1,1.34252e+13,"PF",2,0.9903301,30.2281546537917,0.0106409873212918,-0.0623708000000001,0.0257631369532953,0.0302404561904762
"Micronesia",2013,1,NA,"F",0,NA,NA,NA,NA,NA,NA
"Moldova",2013,1,13918991069,"PF",2,1.1675454,23.3565200085505,0.085259843892775,-0.2499625,0.00620240190704635,-0.031119280952381
"Monaco",2013,1,NA,"F",0.5,4.1079602,NA,NA,-0.0100799,0.0336665590487895,0.0033466
"Mongolia",2013,1,6.14418e+12,"F",0.5,-2.7926393,29.4465264082198,0.111033601884632,-0.00686719999999985,0.05727585617252,0.0548427095238095
"Montenegro",2013,1,1584140084,"F",1.5,1.3236959,21.183307563297,0.0344014270234929,0.00914320000000002,0.023503835396173,0.0676981066190476
"Morocco",2013,0,7.14911e+11,"PF",3.5,0.66392946,27.2954238963682,0.0431904178240075,0.00588088999999992,0.03844506375896,0.0570044542857143
"Mozambique",2013,0,2.24452e+11,"PF",2.5,-1.8104527,26.1369277128052,0.0690479277262774,0.0251893000000001,0.071194055188201,0.0895322857142857
"Myanmar",2013,0,NA,"NF",4.5,-0.68930304,NA,NA,0.20117784,0.0902967070086958,0.0862114695238095
"Namibia",2013,1,96322819365,"F",1,-2.4058924,25.2909710888946,0.0431135085847814,0.0659155999999999,0.0393647110793218,0.0426775714285714
"Nauru",2013,1,NA,"F",0,2.6845706,NA,NA,0.0616812999999996,NA,0.0145914476190476
"Nepal",2013,1,6.96101e+11,"PF",3,-1.0064777,27.2687606016952,0.0371206387195819,0.3604185,0.0422478522468811,0.0379814380952381
"Netherlands",2013,1,5.43033e+11,"F",0,3.2610128,27.0204359285144,-0.00826177410687023,-0.0637197,0.0186828438034192,0.00859016666666667
"New Zealand",2013,1,1.85071e+11,"F",0,0.09091267,25.9440053721824,0.024665326137594,-0.06112553,0.0303491116141789,0.02390941
"Nicaragua",2013,0,1.50503e+11,"PF",2.5,-0.17827842,25.7372488544915,0.0450312000493369,0.08891439,0.0362019128202816,0.0571464419047619
"Niger",2013,1,2.73157e+12,"PF",2.5,-3.2468021,28.6358976513987,0.0380181724383526,0.104367,0.0395265741189223,0.0614254904761905
"Nigeria",2013,0,6.39428e+13,"PF",3,0.26470092,31.7890100496556,0.0525379435130731,-0.00884983,0.0562017784861412,-0.00165756095238095
"North Korea",2013,0,NA,"NF",6,NA,NA,NA,NA,NA,NA
"Norway",2013,1,2.13524e+12,"F",0,1.5954759,28.3896001684693,0.0064462396329823,-0.09934,0.0235027040587233,0.05295365625
"Oman",2013,0,10509048579,"NF",4.5,1.0851359,23.0755024924284,0.0494661261822955,0.0100834000000001,0.0443740441246637,0.0576394990476191
"Pakistan",2013,1,1.03793e+13,"PF",3.5,0.9819147,29.9708345540127,0.058928090777961,-0.0924550999999999,0.0381018765988416,0.0182846614285714
"Palau",2013,1,199935626.5,"F",0,NA,19.1135060052018,-0.00331351402537194,NA,0.0128294148779169,NA
"Panama",2013,1,33573500000,"F",1,0.78052413,24.2370029022594,0.0802177121887269,0.08395272,0.0569291331248023,0.0630532247619048
"Papua New Guinea",2013,1,1.3938e+10,"PF",2,-2.5281599,23.3578847599627,0.0525950038609864,-0.1745127,0.0365497124305048,0.0275429619047619
"Paraguay",2013,1,2.68406e+13,"PF",2,-0.34230256,30.9209367824767,0.127089693730998,-0.04499328,0.0324938627798828,0.0675180638095238
"Peru",2013,1,4.56381e+11,"F",1.5,-0.5886746,26.8465938239188,0.0565843680014133,-0.0164833600000001,0.0520809929378343,0.0601731619047619
"Philippines",2013,1,6.76377e+12,"PF",2,0.67171961,29.5426015428386,0.0691801261019691,0.08183557,0.0438443589769538,0.0540387914285714
"Poland",2013,1,1.3405e+12,"F",0,2.3279104,27.9240637946224,0.0156155084724183,-0.3361473,0.0419422449755426,0.0427567714285714
